Timestamp,Email Address,CTL Display Name (what we would recognize you by),First Pick,Second Pick,Third Pick,Last Pick
11/2/17 12:11,d,d,Voltacus,TreetopHuntR,Excloud,Rajzilla
11/8/17 17:10,d,d,Voltacus,Rajzilla,TreetopHuntR,Excloud
11/2/17 21:24,d,d,Excloud,TreetopHuntR,Voltacus,Rajzilla
11/2/17 12:46,d,d,Excloud,Excloud,Excloud,Excloud
11/2/17 12:10,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/3/17 11:35,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
11/8/17 15:36,d,d,Voltacus,Excloud,Rajzilla,TreetopHuntR
11/3/17 4:59,d,d,Rajzilla,Voltacus,TreetopHuntR,Excloud
11/2/17 12:45,d,d,Voltacus,Excloud,Rajzilla,TreetopHuntR
11/2/17 19:49,d,d,Rajzilla,Voltacus,Excloud,TreetopHuntR
11/2/17 13:11,d,d,Excloud,TreetopHuntR,Voltacus,Rajzilla
11/2/17 12:32,d,d,Rajzilla,TreetopHuntR,Excloud,Voltacus
11/2/17 12:36,dd,dd,TreetopHuntR,Voltacus,Excloud,Rajzilla
11/2/17 14:34,d,d,Rajzilla,Excloud,TreetopHuntR,Voltacus
11/2/17 22:50,d,d,Excloud,Excloud,Excloud,Excloud
11/8/17 17:14,d,d,TreetopHuntR,Voltacus,Rajzilla,Excloud
